GO_term,Descrip,DECount,Expect,N,DEGsRatio,GeneRatio,BgRatio,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0071944,cell periphery,673,438.1219625733172,4164,673/4164,673/2696,3491/21482,3.440997202831607e-27,1.2298124002920165e-23,6.1490620014600824e-24,Down,2,2,FALSE,CC,wt_subVScont
GO:0009725,response to hormone,305,161.64453961456104,1593,305/1593,305/2696,1288/21482,2.991939581087499e-22,1.069319206280672e-18,2.67329801570168e-19,Down,3,4,FALSE,BP,wt_subVScont
GO:0071554,cell wall organization or biogenesis,166,66.6407224653198,697,166/697,166/2696,531/21482,9.087168057204095e-22,3.2477538636447438e-18,6.495507727289487e-19,Down,2,2,FALSE,BP,wt_subVScont
GO:0007049,cell cycle,165,66.5152220463644,695,165/695,165/2696,530/21482,1.5319540386683303e-21,5.475203734200613e-18,9.12533955700102e-19,Down,2,2,FALSE,BP,wt_subVScont
GO:0009719,response to endogenous stimulus,306,165.40955218322316,1624,306/1624,306/2696,1318/21482,2.6405767044100203e-21,9.437421141561412e-18,1.3482030202230588e-18,Down,2,2,FALSE,BP,wt_subVScont
GO:0030312,external encapsulating structure,182,79.19076436086026,813,182/813,182/2696,631/21482,1.2495109549178809e-20,4.4657521528765063e-17,5.582190191095633e-18,Down,2,3,FALSE,CC,wt_subVScont
GO:0005618,cell wall,178,77.18275765757379,793,178/793,178/2696,615/21482,2.2812753943664058e-20,8.153278259465534e-17,9.05622720646143e-18,Down,3,4,FALSE,CC,wt_subVScont
GO:0022402,cell cycle process,127,45.43115166185644,489,127/489,127/2696,362/21482,2.5339191959880892e-20,9.05622720646143e-17,9.05622720646143e-18,Down,2,3,FALSE,BP,wt_subVScont
GO:1901700,response to oxygen-containing compound,308,173.56707941532446,1691,308/1691,308/2696,1383/21482,4.32153957006392e-19,1.5445182423408452e-15,1.2870985352840375e-16,Down,3,3,FALSE,BP,wt_subVScont
GO:0071555,cell wall organization,130,50.95317009589424,536,130/536,130/2696,406/21482,6.056483978518824e-18,2.1645873739226278e-14,1.443058249281752e-15,Down,3,5,FALSE,BP,wt_subVScont
GO:0033993,response to lipid,195,96.76082301461689,966,195/966,195/2696,771/21482,6.923340888552599e-17,2.474402033568699e-13,1.4555306079815876e-14,Down,4,4,FALSE,BP,wt_subVScont
GO:0045229,external encapsulating structure organization,134,56.224187692021225,582,134/582,134/2696,448/21482,1.618317730829097e-16,5.783867569983192e-13,3.2132597611017733e-14,Down,4,4,FALSE,BP,wt_subVScont
