GO_term,Descrip,DECount,Expect,N,DEGsRatio,GeneRatio,BgRatio,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0050896,response to stimulus,582,368.07876923076924,6446,582/6446,582/1428,5864/22750,9.05589170863436e-33,2.14534074577548e-29,2.14534074577548e-29,Up,1,1,FALSE,BP,wt_subVScont
GO:0071456,cellular response to hypoxia,69,10.670769230769231,239,69/239,69/1428,170/22750,2.7638878795459604e-29,6.54765038664438e-26,2.869721896799379e-26,Up,4,6,FALSE,BP,wt_subVScont
GO:0036294,cellular response to decreased oxygen levels,69,10.796307692307693,241,69/241,69/1428,172/22750,4.845456980665899e-29,1.1478887587197515e-25,2.869721896799379e-26,Up,5,5,FALSE,BP,wt_subVScont
GO:0071453,cellular response to oxygen levels,69,10.796307692307693,241,69/241,69/1428,172/22750,4.845456980665899e-29,1.1478887587197515e-25,2.869721896799379e-26,Up,4,4,FALSE,BP,wt_subVScont
GO:0001666,response to hypoxia,71,12.17723076923077,265,71/265,71/1428,194/22750,6.976323261012247e-28,1.6526909805338012e-24,3.3053819610676024e-25,Up,3,5,FALSE,BP,wt_subVScont
GO:0036293,response to decreased oxygen levels,71,12.428307692307692,269,71/269,71/1428,198/22750,1.904263466829849e-27,4.511200152919912e-24,6.444571647028446e-25,Up,4,4,FALSE,BP,wt_subVScont
GO:0070482,response to oxygen levels,71,12.491076923076923,270,71/270,71/1428,199/22750,2.4394772406876416e-27,5.779121583189023e-24,6.4498127888338345e-25,Up,3,3,FALSE,BP,wt_subVScont
GO:0042221,response to chemical,331,177.13476923076922,3153,331/3153,331/1428,2822/22750,2.4503298902281347e-27,5.8048315099504514e-24,6.4498127888338345e-25,Up,2,2,FALSE,BP,wt_subVScont
GO:0070887,cellular response to chemical stimulus,204,94.90707692307693,1716,204/1716,204/1428,1512/22750,1.2296170616893022e-22,2.912962819141957e-19,2.912962819141957e-20,Up,3,3,FALSE,BP,wt_subVScont
GO:0051716,cellular response to stimulus,323,186.48738461538463,3294,323/3294,323/1428,2971/22750,1.7783526454134558e-21,4.212917416984477e-18,3.6138136274692863e-19,Up,2,2,FALSE,BP,wt_subVScont
GO:0010033,response to organic substance,229,115.11876923076923,2063,229/2063,229/1428,1834/22750,1.830551436455527e-21,4.336576352963144e-18,3.6138136274692863e-19,Up,3,3,FALSE,BP,wt_subVScont
GO:0009605,response to external stimulus,214,106.70769230769231,1914,214/1914,214/1428,1700/22750,2.5951510061877672e-20,6.14791273365882e-17,4.0986084891058806e-18,Up,2,2,FALSE,BP,wt_subVScont
GO:0006950,response to stress,360,222.70523076923078,3908,360/3908,360/1428,3548/22750,1.6387109135486723e-19,3.8821061541968045e-16,2.4263163463730028e-17,Up,2,2,FALSE,BP,wt_subVScont
GO:0004674,protein serine/threonine kinase activity,122,48.58338461538462,896,122/896,122/1428,774/22750,3.373240455679301e-18,7.991206639504264e-15,4.700709787943685e-16,Up,4,6,FALSE,MF,wt_subVScont
GO:0009617,response to bacterium,87,28.057846153846153,534,87/534,87/1428,447/22750,4.917530792889845e-18,1.1649630448356044e-14,6.131384446503181e-16,Up,3,5,FALSE,BP,wt_subVScont
GO:0010200,response to chitin,40,6.1513846153846155,138,40/138,40/1428,98/22750,1.3286458274003652e-17,3.1475619651114654e-14,1.5737809825557328e-15,Up,4,5,FALSE,BP,wt_subVScont
GO:0106310,protein serine kinase activity,98,36.09230769230769,673,98/673,98/1428,575/22750,1.3006491138427772e-16,3.0812377506935394e-13,1.2838490627889746e-14,Up,NA,NA,NA,NA,wt_subVScont
GO:0106311,protein threonine kinase activity,98,36.09230769230769,673,98/673,98/1428,575/22750,1.3006491138427772e-16,3.0812377506935394e-13,1.2838490627889746e-14,Up,NA,NA,NA,NA,wt_subVScont
GO:0007154,cell communication,231,129.61846153846153,2296,231/2296,231/1428,2065/22750,2.0555131048881578e-16,4.869510545480046e-13,1.9478042181920184e-14,Up,2,2,FALSE,BP,wt_subVScont
GO:0042742,defense response to bacterium,75,23.977846153846155,457,75/457,75/1428,382/22750,6.881081486502745e-16,1.6301282041525002e-12,5.6211317384568976e-14,Up,4,6,FALSE,BP,wt_subVScont
GO:1901698,response to nitrogen compound,59,15.880615384615385,312,59/312,59/1428,253/22750,1.4107468118697306e-15,3.342059197319392e-12,1.0780836120385135e-13,Up,3,3,FALSE,BP,wt_subVScont
GO:0009607,response to biotic stimulus,163,82.79261538461539,1482,163/1482,163/1428,1319/22750,7.060591828842915e-15,1.6726542042528865e-11,5.068649103796626e-13,Up,2,2,FALSE,BP,wt_subVScont
GO:0043207,response to external biotic stimulus,160,81.4116923076923,1457,160/1457,160/1428,1297/22750,1.71588344662275e-14,4.0649278850492947e-11,1.0986291581214312e-12,Up,3,3,FALSE,BP,wt_subVScont
GO:0051707,response to other organism,160,81.4116923076923,1457,160/1457,160/1428,1297/22750,1.71588344662275e-14,4.0649278850492947e-11,1.0986291581214312e-12,Up,2,4,FALSE,BP,wt_subVScont
GO:0004672,protein kinase activity,134,63.08307692307692,1139,134/1139,134/1428,1005/22750,1.7757244462334213e-14,4.206691213126975e-11,1.1070240034544671e-12,Up,3,5,FALSE,MF,wt_subVScont
GO:0006952,defense response,178,95.53476923076923,1700,178/1700,178/1428,1522/22750,2.9552445173331686e-14,7.000974261562277e-11,1.7502435653905692e-12,Up,3,3,FALSE,BP,wt_subVScont
