keggID,DECount,Expect,N,notDECount,DEGsRatio,GeneRatio,BgRatio,p,adjP,FDR,Class,Description,SubVsCont
ath04075,100,36.645348837209305,291,191,100/291,100/825,191/4300,3.161456178062011e-15,3.161456178062011e-15,3.161456178062011e-15,Environmental Information Processing; Signal transduction,Plant hormone signal transduction,wt_subVScont
ath04016,49,17.267441860465116,139,90,49/139,49/825,90/4300,2.4949777182033657e-8,2.4949777182033657e-8,2.4949777182033657e-8,Environmental Information Processing; Signal transduction,MAPK signaling pathway - plant,wt_subVScont
ath00460,24,8.825581395348838,70,46,24/70,24/825,46/4300,1.9757983447107492e-4,1.9757983447107492e-4,1.9757983447107492e-4,Metabolism; Metabolism of other amino acids,Cyanoamino acid metabolism,wt_subVScont
ath00999,22,8.25,65,43,22/65,22/825,43/4300,4.562033205181301e-4,4.562033205181301e-4,4.562033205181301e-4,Metabolism; Biosynthesis of other secondary metabolites,Biosynthesis of various plant secondary metabolites,wt_subVScont
ath00910,16,5.180232558139535,43,27,16/43,16/825,27/4300,6.311402411160386e-4,6.311402411160386e-4,6.311402411160386e-4,Metabolism; Energy metabolism,Nitrogen metabolism,wt_subVScont
ath00901,4,0,4,0,4/4,4/825,0/4300,6.673995234114962e-4,6.673995234114962e-4,6.673995234114962e-4,Metabolism; Biosynthesis of other secondary metabolites,Indole alkaloid biosynthesis,wt_subVScont
ath00062,14,4.22093023255814,36,22,14/36,14/825,22/4300,8.212810906420837e-4,8.212810906420837e-4,8.212810906420837e-4,Metabolism; Lipid metabolism,Fatty acid elongation,wt_subVScont
ath03030,17,5.9476744186046515,48,31,17/48,17/825,31/4300,0.0010426656805194389,0.0010426656805194389,0.0010426656805194389,Genetic Information Processing; Replication and repair,DNA replication,wt_subVScont
ath00966,11,2.877906976744186,26,15,11/26,11/825,15/4300,0.0013164489383404978,0.0013164489383404978,0.0013164489383404978,Metabolism; Biosynthesis of other secondary metabolites,Glucosinolate biosynthesis,wt_subVScont
ath00780,8,1.5348837209302326,16,8,8/16,8/825,8/4300,0.0016729949938557342,0.0016729949938557342,0.0016729949938557342,Metabolism; Metabolism of cofactors and vitamins,Biotin metabolism,wt_subVScont
ath00592,15,5.372093023255814,43,28,15/43,15/825,28/4300,0.0024915212380088123,0.0024915212380088123,0.0024915212380088123,Metabolism; Lipid metabolism,alpha-Linolenic acid metabolism,wt_subVScont
ath00904,9,2.302325581395349,21,12,9/21,9/825,12/4300,0.0032626036636075224,0.0032626036636075224,0.0032626036636075224,Metabolism; Metabolism of terpenoids and polyketides,Diterpenoid biosynthesis,wt_subVScont
ath00941,10,2.877906976744186,25,15,10/25,10/825,15/4300,0.003576139315945441,0.003576139315945441,0.003576139315945441,Metabolism; Biosynthesis of other secondary metabolites,Flavonoid biosynthesis,wt_subVScont
ath00906,11,3.453488372093023,29,18,11/29,11/825,18/4300,0.0037105856786121957,0.0037105856786121957,0.0037105856786121957,Metabolism; Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,wt_subVScont
ath00500,42,24.75,171,129,42/171,42/825,129/4300,0.003999622558794861,0.003999622558794861,0.003999622558794861,Metabolism; Carbohydrate metabolism,Starch and sucrose metabolism,wt_subVScont
ath00053,19,8.44186046511628,63,44,19/63,19/825,44/4300,0.004931271009012656,0.004931271009012656,0.004931271009012656,Metabolism; Carbohydrate metabolism,Ascorbate and aldarate metabolism,wt_subVScont
ath00380,19,8.633720930232558,64,45,19/64,19/825,45/4300,0.0055349190811764095,0.0055349190811764095,0.0055349190811764095,Metabolism; Amino acid metabolism,Tryptophan metabolism,wt_subVScont
ath00061,14,5.563953488372093,43,29,14/43,14/825,29/4300,0.006170885119090117,0.006170885119090117,0.006170885119090117,Metabolism; Lipid metabolism,Fatty acid biosynthesis,wt_subVScont
ath00908,11,4.02906976744186,32,21,11/32,11/825,21/4300,0.012301721423875684,0.012301721423875684,0.012301721423875684,Metabolism; Metabolism of terpenoids and polyketides,Zeatin biosynthesis,wt_subVScont
ath00360,11,4.22093023255814,33,22,11/33,11/825,22/4300,0.014232026796254021,0.014232026796254021,0.014232026796254021,Metabolism; Amino acid metabolism,Phenylalanine metabolism,wt_subVScont
ath00944,3,0.19186046511627908,4,1,3/4,3/825,1/4300,0.014632450378250582,0.014632450378250582,0.014632450378250582,Metabolism; Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis,wt_subVScont
ath00071,14,6.3313953488372094,47,33,14/47,14/825,33/4300,0.01578101285547742,0.01578101285547742,0.01578101285547742,Metabolism; Lipid metabolism,Fatty acid degradation,wt_subVScont
ath00950,8,2.686046511627907,22,14,8/22,8/825,14/4300,0.016974336968969255,0.016974336968969255,0.016974336968969255,Metabolism; Biosynthesis of other secondary metabolites,Isoquinoline alkaloid biosynthesis,wt_subVScont
ath00270,30,18.03488372093023,124,94,30/124,30/825,94/4300,0.01810916343738377,0.01810916343738377,0.01810916343738377,Metabolism; Amino acid metabolism,Cysteine and methionine metabolism,wt_subVScont
ath00860,15,7.290697674418604,53,38,15/53,15/825,38/4300,0.022557484964038452,0.022557484964038452,0.022557484964038452,Metabolism; Metabolism of cofactors and vitamins,Porphyrin metabolism,wt_subVScont
ath00330,15,7.482558139534884,54,39,15/54,15/825,39/4300,0.02499464702221166,0.02499464702221166,0.02499464702221166,Metabolism; Amino acid metabolism,Arginine and proline metabolism,wt_subVScont
ath00942,2,0,2,0,2/2,2/825,0/4300,0.025886788141886122,0.025886788141886122,0.025886788141886122,Metabolism; Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis,wt_subVScont
ath00940,30,18.802325581395348,128,98,30/128,30/825,98/4300,0.027796202741622707,0.027796202741622707,0.027796202741622707,Metabolism; Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis,wt_subVScont
ath00350,12,5.563953488372093,41,29,12/41,12/825,29/4300,0.030652107300619288,0.030652107300619288,0.030652107300619288,Metabolism; Amino acid metabolism,Tyrosine metabolism,wt_subVScont
ath00040,26,15.732558139534884,108,82,26/108,26/825,82/4300,0.03296436717130018,0.03296436717130018,0.03296436717130018,Metabolism; Carbohydrate metabolism,Pentose and glucuronate interconversions,wt_subVScont
ath00250,14,7.098837209302325,51,37,14/51,14/825,37/4300,0.03425786078223446,0.03425786078223446,0.03425786078223446,Metabolism; Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",wt_subVScont
ath04626,44,30.697674418604652,204,160,44/204,44/825,160/4300,0.04050803019488784,0.04050803019488784,0.04050803019488784,Organismal Systems; Environmental adaptation,Plant-pathogen interaction,wt_subVScont
